Sitio,Indiv,Clave,DAP2004,DAP2010
T,1,APOPAN,4.3,6
T,5,AESAMO,3.4,
T,6,CROSUB,1.7,
T,6,CROSUB,1.9,
T,6,CROSUB,2.3,
T,7,RANTET,2.8,
T,7,RANTET,4.5,
T,9,HELPAL,1,
T,9,HELPAL,1,
T,9,HELPAL,1.1,
T,9,HELPAL,1.2,
T,9,HELPAL,2.4,
T,10,APOPAN,7.7,8.3
T,10,APOPAN,9.5,10.8
T,10,APOPAN,,1.1
T,10,APOPAN,,1.2
T,11,CROSUB,1.91,
T,11,CROSUB,2.4,
T,12,HELPAL,1.2,
T,15,LONLAN,1.8,
T,16,ERYHAV,1.2,
T,16,ERYHAV,1.3,
T,16,ERYHAV,4.4,
T,16,ERYHAV,6.6,
T,17,HELPAL,2.5,
T,18,PHYBOT,2.5,
T,19,SPOPUR,2.9,6.3
T,20,BURINS,8.7,15.1
T,21,COCLIE,2.5,2
T,22,COCsp.1,4.2,
T,23,EXOCAR,6.6,7.3
T,24,EXOCAR,6.2,6.7
T,25,CAEPLA,9.5,10.9
T,26,APOPAN,4.2,
T,27,CROSEP,4.2,
T,28,APOPAN,4.2,
T,29,CHLMAN,22.1,22
T,30,APOPAN,1.8,
T,30,APOPAN,8.5,
T,31,CROROX,1.4,
T,32,CHLMAN,2.4,2.1
T,32,CHLMAN,,1.1
T,33,LONLAN,4.2,
T,34,APOPAN,2.7,
T,35,ACHGRA,4.2,
T,36,CHLMAN,1.9,2.2
T,37,CROROX,1.3,
T,38,AMPADS,10.7,14.2
T,39,CAECAL,2.7,3.2
T,40,BURARB,2.3,3.5
T,41,AMPADS,3.7,5.6
T,42,ZANsp.3,2.7,
T,43,CROROX,1,
T,43,CROROX,1,
T,43,CROROX,1.1,
T,43,CROROX,1.1,
T,43,CROROX,1.4,
T,43,CROROX,1.4,
T,43,CROROX,1.8,
T,43,CROROX,1.8,
T,44,APOPAN,2.5,3.5
T,45,CROROX,1,
T,45,CROROX,1,
