Sitio,Indiv,Especie,Clave,Familia,FV,DAP2004,DAP2010
T,1,Apoplanesia paniculata C. Presl,APOPAN,Fabaceae,Arbol,4.3,6
T,5,Aeschynomene amorphoides (S. Watson) Rose ex B.L. Rob.,AESAMO,Fabaceae,arbusto,3.4,
T,6,Croton suberosus Kunth,CROSUB,Euphorbiaceae,arbusto,1.7,
T,6,Croton suberosus Kunth,CROSUB,Euphorbiaceae,arbusto,1.9,
T,6,Croton suberosus Kunth,CROSUB,Euphorbiaceae,arbusto,2.3,
T,7,Randia tetracantha (Cav.) DC. ,RANTET,Rubiaceae,arbusto,2.8,
T,7,Randia tetracantha (Cav.) DC. ,RANTET,Rubiaceae,arbusto,4.5,
T,9,Heliocarpus pallidus Rose.,HELPAL,Malvaceae,Arbol,1,
T,9,Heliocarpus pallidus Rose.,HELPAL,Malvaceae,Arbol,1,
T,9,Heliocarpus pallidus Rose.,HELPAL,Malvaceae,Arbol,1.1,
T,9,Heliocarpus pallidus Rose.,HELPAL,Malvaceae,Arbol,1.2,
T,9,Heliocarpus pallidus Rose.,HELPAL,Malvaceae,Arbol,2.4,
T,10,Apoplanesia paniculata C. Presl,APOPAN,Fabaceae,Arbol,7.7,8.3
T,10,Apoplanesia paniculata C. Presl,APOPAN,Fabaceae,Arbol,9.5,10.8
T,10,Apoplanesia paniculata C. Presl,APOPAN,Fabaceae,Arbol,,1.1
T,10,Apoplanesia paniculata C. Presl,APOPAN,Fabaceae,Arbol,,1.2
T,11,Croton suberosus Kunth,CROSUB,Euphorbiaceae,arbusto,1.91,
T,11,Croton suberosus Kunth,CROSUB,Euphorbiaceae,arbusto,2.4,
T,12,Heliocarpus pallidus Rose.,HELPAL,Malvaceae,Arbol,1.2,
T,15,Lonchocarpus lanceolatus Benth.,LONLAN,Fabaceae,Arbol,1.8,
T,16,Erythroxylum havanense Jacq.,ERYHAV,Erythroxylaceae,arbusto,1.2,
T,16,Erythroxylum havanense Jacq.,ERYHAV,Erythroxylaceae,arbusto,1.3,
T,16,Erythroxylum havanense Jacq.,ERYHAV,Erythroxylaceae,arbusto,4.4,
T,16,Erythroxylum havanense Jacq.,ERYHAV,Erythroxylaceae,arbusto,6.6,
T,17,Heliocarpus pallidus Rose.,HELPAL,Malvaceae,Arbol,2.5,
T,18,Phyllanthus botryanthus Müll. Arg.,PHYBOT,Euphorbiaceae,arbusto,2.5,
T,19,Spondias purpurea L.,SPOPUR,Anacardiaceae,Arbol,2.9,6.3
T,20,Bursera instabilis McVaugh & Rzed.,BURINS,Burseraceae,Arbol,8.7,15.1
T,21,Coccoloba liebmannii Lindau,COCLIE,Polygonaceae,Arbol,2.5,2
T,22,Coccoloba sp.1,COCsp.1,Polygonaceae,Arbol,4.2,
T,23,Exostema caribaeum (Jacq.) Roem. & Schult.,EXOCAR,Rubiaceae,Arbol,6.6,7.3
T,24,Exostema caribaeum (Jacq.) Roem. & Schult.,EXOCAR,Rubiaceae,Arbol,6.2,6.7
T,25,Caesalpinia platyloba S. Watson,CAEPLA,Fabaceae,Arbol,9.5,10.9
T,26,Apoplanesia paniculata C. Presl,APOPAN,Fabaceae,Arbol,4.2,
T,27,Croton septemnervius McVaugh,CROSEP,Euphorbiaceae,Arbol,4.2,
T,28,Apoplanesia paniculata C. Presl,APOPAN,Fabaceae,Arbol,4.2,
T,29,Chloroleucon mangense (Jacq.) Britton & Rose,CHLMAN,Fabaceae,Arbol,22.1,22
T,30,Apoplanesia paniculata C. Presl,APOPAN,Fabaceae,Arbol,1.8,
T,30,Apoplanesia paniculata C. Presl,APOPAN,Fabaceae,Arbol,8.5,
T,31,Croton roxanae Croizat,CROROX,Euphorbiaceae,arbusto,1.4,
T,32,Chloroleucon mangense (Jacq.) Britton & Rose,CHLMAN,Fabaceae,Arbol,2.4,2.1
T,32,Chloroleucon mangense (Jacq.) Britton & Rose,CHLMAN,Fabaceae,Arbol,,1.1
T,33,Lonchocarpus lanceolatus Benth.,LONLAN,Fabaceae,Arbol,4.2,
T,34,Apoplanesia paniculata C. Presl,APOPAN,Fabaceae,Arbol,2.7,
T,35,Achatocarpus gracilis H. Walter,ACHGRA,Achatocarpaceae,arbusto,4.2,
T,36,Chloroleucon mangense (Jacq.) Britton & Rose,CHLMAN,Fabaceae,Arbol,1.9,2.2
T,37,Croton roxanae Croizat,CROROX,Euphorbiaceae,arbusto,1.3,
T,38,Amphipterygium adstringens (Schltdl.) Standl.,AMPADS,Anacardiaceae,Arbol,10.7,14.2
T,39,Caesalpinia caladenia Standl.,CAECAL,Fabaceae,arbusto,2.7,3.2
T,40,Bursera arborea (Rose) L. Riley,BURARB,Burseraceae,Arbol,2.3,3.5
T,41,Amphipterygium adstringens (Schltdl.) Standl.,AMPADS,Anacardiaceae,Arbol,3.7,5.6
T,42,Zanthoxylum sp.3,ZANsp.3,Rutaceae,Arbol,2.7,
T,43,Croton roxanae Croizat,CROROX,Euphorbiaceae,arbusto,1,
T,43,Croton roxanae Croizat,CROROX,Euphorbiaceae,arbusto,1,
T,43,Croton roxanae Croizat,CROROX,Euphorbiaceae,arbusto,1.1,
T,43,Croton roxanae Croizat,CROROX,Euphorbiaceae,arbusto,1.1,
T,43,Croton roxanae Croizat,CROROX,Euphorbiaceae,arbusto,1.4,
T,43,Croton roxanae Croizat,CROROX,Euphorbiaceae,arbusto,1.4,
T,43,Croton roxanae Croizat,CROROX,Euphorbiaceae,arbusto,1.8,
T,43,Croton roxanae Croizat,CROROX,Euphorbiaceae,arbusto,1.8,
T,44,Apoplanesia paniculata C. Presl,APOPAN,Fabaceae,Arbol,2.5,3.5
T,45,Croton roxanae Croizat,CROROX,Euphorbiaceae,arbusto,1,
T,45,Croton roxanae Croizat,CROROX,Euphorbiaceae,arbusto,1,
T,45,Croton roxanae Croizat,CROROX,Euphorbiaceae,arbusto,1.1,
T,47,Apoplanesia paniculata C. Presl,APOPAN,Fabaceae,Arbol,5.2,6.5
T,49,Exostema caribaeum (Jacq.) Roem. & Schult.,EXOCAR,Rubiaceae,Arbol,9.3,12
T,51,Chloroleucon mangense (Jacq.) Britton & Rose,CHLMAN,Fabaceae,Arbol,1.4,
T,52,Thouinia paucidentata Radlk.,THOPAU,Sapindaceae,Arbol,1.6,5.2
T,52,Thouinia paucidentata Radlk.,THOPAU,Sapindaceae,Arbol,3.3,1.2
T,52,Thouinia paucidentata Radlk.,THOPAU,Sapindaceae,Arbol,3.8,2.1
T,52,Thouinia paucidentata Radlk.,THOPAU,Sapindaceae,Arbol,,1.9
T,52,Thouinia paucidentata Radlk.,THOPAU,Sapindaceae,Arbol,,4.4
T,53,Heliocarpus pallidus Rose.,HELPAL,Malvaceae,Arbol,1.7,
T,53,Heliocarpus pallidus Rose.,HELPAL,Malvaceae,Arbol,2.1,
T,54,Heliocarpus pallidus Rose.,HELPAL,Malvaceae,Arbol,1.4,
