CVE_ENT,A2006,A2007,A2008,A2009,A2010,A2011,A2012
1,0,23,22,22,36,36,14
2,5,180,665,422,519,313,220
3,0,5,2,1,9,8,6
4,0,4,4,5,9,10,12
5,0,7,57,143,314,654,754
6,0,1,11,31,70,108,187
7,0,48,63,75,65,89,73
8,1,222,1903,3146,4083,2739,1553
9,1,169,119,126,165,167,211
10,0,79,188,554,652,758,379
11,0,45,47,196,139,186,227
12,12,256,334,707,805,1592,1775
13,0,35,32,18,45,39,34
14,1,68,123,210,472,715,653
15,0,94,293,394,558,688,668
16,15,283,228,457,401,506,485
17,0,27,34,93,293,284,483
18,0,10,24,24,259,317,63
19,4,90,81,59,350,1013,1023
20,0,48,93,79,135,154,123
21,0,6,15,20,40,74,75
22,0,4,2,13,11,20,10
23,0,24,22,25,62,72,47
24,0,4,27,6,82,111,231
25,3,393,866,962,1638,1241,1004
26,5,93,184,323,395,279,279
27,1,17,28,31,65,92,52
28,0,57,65,47,519,704,750
29,0,0,3,5,3,12,17
30,1,48,48,113,134,566,695
31,1,4,17,1,2,2,0
32,0,5,18,23,22,40,156
